"Product name"|"Product code"|"Unit price"|"Supplier"|"Profit margin"
"Black Rice"|"20001"|"11.70"|"Food Pirate"|"3.00"
"Amaranth Seed"|"20002"|"11.75"|"Food Pirate"|"16.00"
"Brown Rice Short Grain"|"20003"|"9.05"|"Food Pirate"|"14.00"
"Brown Rice Short Grain"|"20004"|"17.50"|"Food Pirate"|"16.00"
"Brown Basmati "|"20005"|"13.20"|"Food Pirate"|"14.00"
"Brown Basmati "|"20006"|"29.60"|"Food Pirate"|"11.00"
"Brown Rice Short Grain"|"20007"|"15.14"|"Food Pirate"|"13.00"
"Brown Rice Long Grain"|"20008"|"10.95"|"Food Pirate"|"10.00"
"Brown Rice Long Grain"|"20009"|"19.70"|"Food Pirate"|"12.00"
"Brown Rice Long Grain"|"20010"|"18.09"|"Food Pirate"|"8.00"
"Buckwheat Groats "|"20011"|"7.60"|"Food Pirate"|"5.00"
"Bulghur"|"20012"|"10.90"|"Food Pirate"|"5.00"
"Camargue Red Rice"|"20013"|"10.95"|"Food Pirate"|"14.00"
"White Cous Cous"|"20014"|"11.10"|"Food Pirate"|"5.00"
"Wholemeal Cous Cous"|"20015"|"12.90"|"Food Pirate"|"14.00"
"Kasha - Roast Buckwheat "|"20016"|"9.10"|"Food Pirate"|"10.00"
"Millet"|"20017"|"15.35"|"Food Pirate"|"14.00"
"Oat Groats"|"20018"|"9.40"|"Food Pirate"|"7.00"
"Popping Corn"|"20019"|"13.95"|"Food Pirate"|"16.00"
"Pearl Barley"|"20020"|"11.00"|"Food Pirate"|"10.00"
"Pot Barley"|"20021"|"8.10"|"Food Pirate"|"4.00"
"Quinoa Grain "|"20022"|"25.35"|"Food Pirate"|"12.00"
"Quinoa Grain "|"20023"|"26.25"|"Food Pirate"|"11.00"
"Rye Grain"|"20024"|"4.14"|"Food Pirate"|"16.00"
"Spelt Grain"|"20025"|"6.75"|"Food Pirate"|"3.00"
"Wheat Grain"|"20026"|"9.25"|"Food Pirate"|"11.00"
"Red Quinoa Grain "|"20027"|"20.30"|"Food Pirate"|"5.00"
"Red Quinoa Grain "|"20028"|"21.34"|"Food Pirate"|"6.00"
"Black Quinoa Grain"|"20029"|"15.84"|"Food Pirate"|"13.00"
"Tricolour Quinoa Grain "|"20030"|"19.75"|"Food Pirate"|"7.00"
"Tricolour Quinoa Grain "|"20031"|"22.35"|"Food Pirate"|"6.00"
"White Basmati "|"20032"|"18.15"|"Food Pirate"|"4.00"
"White Basmati "|"20033"|"23.80"|"Food Pirate"|"15.00"
"Wild Rice"|"20034"|"20.50"|"Food Pirate"|"14.00"
"Wild Rice Mix"|"20035"|"13.30"|"Food Pirate"|"12.00"
"Brown Jasmine Rice "|"20036"|"7.54"|"Food Pirate"|"15.00"
"White Jasmine Rice "|"20037"|"7.94"|"Food Pirate"|"10.00"
"White Jasmine Rice "|"20038"|"13.70"|"Food Pirate"|"8.00"
"Barley Flakes"|"20039"|"5.40"|"Food Pirate"|"14.00"
"Buckwheat Flakes"|"20040"|"11.25"|"Food Pirate"|"13.00"
"Millet Flakes"|"20041"|"14.35"|"Food Pirate"|"8.00"
"Jumbo Oatflakes"|"20042"|"9.30"|"Food Pirate"|"15.00"
"Jumbo Oatflakes"|"20043"|"10.55"|"Food Pirate"|"6.00"
"Rolled Oatflakes"|"20044"|"10.25"|"Food Pirate"|"15.00"
"Rolled Oatflakes"|"20045"|"8.10"|"Food Pirate"|"18.00"
"Spelt Flakes"|"20046"|"9.95"|"Food Pirate"|"6.00"
"Quinoa Flakes "|"20047"|"17.45"|"Food Pirate"|"16.00"
"Rice Flakes"|"20048"|"11.20"|"Food Pirate"|"13.00"
"Rye Flakes"|"20049"|"6.65"|"Food Pirate"|"4.00"
"Wheat Flakes"|"20050"|"6.50"|"Food Pirate"|"12.00"
"Malted Wheat Flakes"|"20051"|"8.30"|"Food Pirate"|"18.00"
"Gluten-free Porridge Oats"|"20052"|"7.80"|"Food Pirate"|"8.00"
"Wheat Bran"|"20053"|"8.50"|"Food Pirate"|"4.00"
"Brown Rice Flour"|"20054"|"9.90"|"Food Pirate"|"8.00"
"Buckwheat Flour"|"20055"|"12.79"|"Food Pirate"|"7.00"
"Chickpea Flour"|"20056"|"10.15"|"Food Pirate"|"15.00"
"Corn Flour (maize flour)"|"20057"|"10.35"|"Food Pirate"|"10.00"
"Hemp Flour"|"20058"|"10.14"|"Food Pirate"|"14.00"
"Millet Flour"|"20059"|"10.95"|"Food Pirate"|"11.00"
"Oat Bran"|"20060"|"6.65"|"Food Pirate"|"12.00"
"Fine Oatmeal"|"20061"|"6.50"|"Food Pirate"|"17.00"
"Medium Oatmeal"|"20062"|"5.70"|"Food Pirate"|"15.00"
"Coarse Oatmeal (Pinhead)"|"20063"|"6.15"|"Food Pirate"|"10.00"
"Semolina "|"20064"|"5.05"|"Food Pirate"|"11.00"
"Soya Flour"|"20065"|"9.55"|"Food Pirate"|"14.00"
"Spelt Flour - whole"|"20066"|"7.14"|"Food Pirate"|"10.00"
"Tapioca Flour"|"20067"|"9.85"|"Food Pirate"|"10.00"
"Wheatgerm"|"20068"|"4.60"|"Food Pirate"|"5.00"
"Gluten-Free Muesli - Original"|"20069"|"28.34"|"Food Pirate"|"16.00"
"Bran Flakes"|"20070"|"13.40"|"Food Pirate"|"5.00"
"Gluten-Free Muesli - Original"|"20071"|"28.15"|"Food Pirate"|"10.00"
"Cranberry & Pecan Muesli"|"20072"|"26.50"|"Food Pirate"|"4.00"
"Cranberry & Pecan Muesli"|"20073"|"22.35"|"Food Pirate"|"7.00"
"Fruit and Fibre"|"20074"|"14.60"|"Food Pirate"|"3.00"
"Vitality Muesli "|"20075"|"24.05"|"Food Pirate"|"15.00"
"Vitality Muesli "|"20076"|"23.20"|"Food Pirate"|"18.00"
