paymentId;orderId;customerId;paymentType;paidAmount;paymentDate
151392;5553;1193;CARD;79.90;20250101010546
69559;2387;2289;CARD;290.91;20250101011311
216313;;945;card;612.29;20250101021158
19611;439;5294;CARD;545.02;20250101032106
100209;3607;3643;CARD;65.52;20250101050201
101305;3651;1331;CARD;1125.82;20250101072253
144589;5279;4400;CARD;336.89;20250101075950
13337;207;327;card;327.29;20250101082126
65107;2205;3132;CARD;211.65;20250101082831
27567;736;4900;CARD;194.47;20250101135357
201345;7490;2698;CARD;135.92;20250101140524
79059;2774;3840;CARD;369.90;20250101182041
32833;946;2774;CARD;256.75;20250102004529
54880;1830;5281;card;33.50;20250102004803
58106;1953;835;CARD;78.22;20250102022248
10127;83;493;CARD;418.20;20250102065238
71020;2446;2976;CARD;162.71;20250102130108
109721;3959;2795;CARD;105.60;20250102134911
170855;6295;3580;CARD;51.00;20250102152228
49598;1613;4292;card;164.10;20250102224136
185612;6881;4520;CARD;831.56;20250102232208
127460;4621;2082;CARD;198.75;20250102232548
215984;;3864;CARD;214.10;20250103012451
194311;7225;3864;card;214.10;20250103012517
12990;193;4799;CARD;610.20;20250103022425
60360;2032;1160;CARD;5.14;20250103040232
32831;945;2774;CARD;1075.51;20250103065702
101284;3648;3733;card;349.35;20250103073558
24568;626;5209;CARD;1297.27;20250103092111
77886;2723;4611;CARD;117.50;20250103092726
121304;4397;1344;CARD;6.10;20250103101456
105560;3809;1482;CARD;353.47;20250103114018
212632;;4259;CARD;37.52;20250103120338
202984;7556;1426;CARD;65.97;20250103120554
168088;6193;3447;CARD;90.22;20250103135916
150537;5519;610;CARD;659.94;20250103142813
192418;7149;1257;CARD;347.53;20250103144208
174636;6440;682;cash;317.97;20250103153800
96747;3457-96;3263;CASH;794.01;20250103154402
129407;4700;1751;CASH;105.50;20250103165100
164505;6063;2558;cash;84.70;20250103165700
175989;6496;3492;CARD;195.45;20250103183424
186019;6898;4180;CARD;208.90;20250103215431
207345;;1967;CARD;500.03;20250103224305
12284;169;3849;CARD;396.45;20250104033127
10413;94;3021;CARD;320.30;20250104085420
76421;2666;2802;CARD;850.14;20250104105358
113370;4103;1736;CARD;154.20;20250104141803
126588;4591-30;690;CASH;569.55;20250104172044
90643;3222;867;CARD;105.60;20250104191406
78131;2735-92;5212;CASH;11.60;20250104224054
172763;6370;3722;CARD;364.11;20250104233701
35261;1046;5275;CARD;82.85;20250105025113
120025;4351;2628;CARD;280.95;20250105064253
141233;5155;2468;CARD;445.22;20250105083226
68676;2343;407;CASH;919.22;20250105084100
76207;2657;2062;CASH;79.20;20250105091300
23054;569;4804;CASH;423.95;20250105093000
55677;1859;1018;CARD;97.65;20250105151441
114252;4135;4259;CASH;37.52;20250105153600
88304;3132;4684;CARD;99.49;20250105160439
21163;488;1967;CASH;500.03;20250105160900
64108;2174;4092;CARD;667.69;20250105193747
72572;2505;708;card;408.30;20250105202519
210399;;1689;CARD;20.40;20250105203722
182446;6764;4585;CARD;298.80;20250106020518
