paymentId;orderId;customerId;paymentType;paidAmount;paymentDate
69178;2369;4866;CARD;1098.43;2025-11-01 01:32:25
116794;4230;2002;CARD;179.31;2025-11-01 02:09:35
111612;4032-99;5261;CASH;472.93;2025-11-01 02:49:50
13381;208;327;CASH;327.92;2025-11-01 08:08:00
139805;5098;2305;CASH;223.01;20251101094000
100539;3619;3839;CASH;595.99;025-11-01 09:48:00
17436;356;851;CASH;83.65;51101094900
86344;3059;1642;cash;19.00;2025-11-01 10:04:00
50539;1651;1876;cash;197.06;2025-11-01 10:14:00
182936;6784;822;CASH;10.60;2025-11-01 10:42:00
204096;7603;5063;CARD;549.55;2025-11-01 13:33:02
209915;;2954;CARD;231.68;2025-11-01 14:10:59
10200;86;3169;CASH;333.04;202511011436
126664;4593;431;CASH;41.58;2025-11-01 15:52:00
114626;4147;3389;CARD;47.00;2025-11-01 16:45:21
102491;3697;624;CASH;149.19;20251101175000
67344;2288;1613;CARD;259.91;25-11-01 17:52:20
166988;6148;2770;CASH;59.09;20251101184300
52348;1728;455;card;651.89;2025-11-01 18:57:07
116793;4229;2432;CARD;885.54;2025-11-01 22:19:30
59555;2005;4182;CARD;886.83;2025-11-01 22:30:07
116451;4216;2838;CARD;333.60;2025-11-01 22:46:15
176489;6519;836;CARD;227.00;2025-11-02 00:04:26
38633;1180;4632;CARD;103.53;2025-11-02 01:55:06
87830;3111;1943;card;126.00;2025-11-02 02:33:38
118174;4277;2329;CARD;211.14;202511020358
198883;7394;3082;CARD;1167.61;2025-11-02 04:00:41
69761;2393;3315;CARD;0.00;025-11-02 05:31:37
103795;3746;406;CARD;58.45;20251102061332
159876;5879;4293;CARD;310.74;202511020640
153505;5637;1442;card;172.80;2025-11-02 08:26:40
43385;1368;881;cash;737.10;2025-11-02 08:46:00
117225;4246-30;3515;CASH;39.25;20251102085341
197820;7350;968;CASH;25.45;2025-11-02 09:06:00
110311;3980;716;card;141.60;2025-11-02 11:17:03
159408;5863;1968;CASH;56.10;2025-11-02 12:18:00
119561;4333;2658;CARD;259.35;2025-11-02 12:26:14
115580;4186;4006;CASH;202.33;2025-11-02 13:37:00
96164;3435;3089;card;252.05;2025-11-02 14:31:21
164118;6047;1492;CASH;379.82;2025-11-02 15:47:00
185823;6889;4062;card;402.20;20251102161746
50343;1644;438;CASH;178.05;202511021719
214701;;4970;CASH;111.65;202511021739
28549;776;19;CASH;741.20;2025-11-02 18:55:00
184042;6827;105;CARD;95.40;20251102210303
108996;3933;5036;CARD;890.09;2025-11-02 22:16:02
